Sample,Time(S),CH1(V),CH2(V)
288,-7.904,0.113025,-0.0732059
289,-7.903,0.113025,-0.0732059
290,-7.902,0.113025,-0.0732059
291,-7.901,0.113025,-0.0732059
292,-7.9,0.113025,-0.0732059
293,-7.899,0.113025,-0.0732059
294,-7.898,0.113025,-0.0732059
295,-7.897,0.113025,-0.0732059
296,-7.896,0.113025,-0.0732059
297,-7.895,0.113025,-0.0732059
298,-7.894,0.113025,-0.0732059
299,-7.893,0.113025,-0.0732059
300,-7.892,0.113025,-0.0732059
301,-7.891,0.113025,-0.0732059
302,-7.89,0.113025,-0.0732059
303,-7.889,0.113025,-0.0732059
304,-7.888,0.113025,-0.0732059
305,-7.887,0.113025,-0.0732059
306,-7.886,0.113025,-0.0732059
307,-7.885,0.113025,-0.0732059
308,-7.884,0.113025,-0.0732059
309,-7.883,0.113025,-0.0732059
310,-7.882,0.113025,-0.0732059
311,-7.881,0.113025,-0.0732059
312,-7.88,0.113025,-0.0732059
313,-7.879,0.113025,-0.0732059
314,-7.878,0.113025,-0.0732059
315,-7.877,0.113025,-0.0732059
316,-7.876,0.113025,-0.0732059
317,-7.875,0.113025,-0.0732059
318,-7.874,0.113025,-0.0732059
319,-7.873,0.113025,-0.0732059
320,-7.872,0.113025,-0.0732059
321,-7.871,0.113025,-0.0732059
322,-7.87,0.113025,-0.0732059
323,-7.869,0.113025,-0.0732059
324,-7.868,0.113025,-0.0732059
325,-7.867,0.113025,-0.0732059
326,-7.866,0.113025,-0.0732059
327,-7.865,0.113025,-0.0732059
328,-7.864,0.113025,-0.0732059
329,-7.863,0.113025,-0.0732059
330,-7.862,0.113025,-0.0732059
331,-7.861,0.113025,-0.0732059
332,-7.86,0.113025,-0.0732059
333,-7.859,0.113025,-0.0732059
334,-7.858,0.113025,-0.0732059
335,-7.857,0.113025,-0.0732059
336,-7.856,0.113025,-0.0732059
337,-7.855,0.113025,-0.0732059
338,-7.854,0.113025,-0.0732059
339,-7.853,0.113025,-0.0732059
340,-7.852,0.113025,-0.0732059
341,-7.851,0.113025,-0.0732059
342,-7.85,0.113025,-0.0732059
343,-7.849,0.113025,-0.0732059
344,-7.848,0.113025,-0.0732059
345,-7.847,0.113025,-0.0732059
346,-7.846,0.113025,-0.0732059
347,-7.845,0.113025,-0.0732059
348,-7.844,0.113025,-0.0732059
349,-7.843,0.113025,-0.0732059
350,-7.842,0.113025,-0.0732059
351,-7.841,0.113025,-0.0732059
352,-7.84,0.113025,-0.0732059
353,-7.839,0.113025,-0.0732059
354,-7.838,0.113025,-0.0732059
355,-7.837,0.113025,-0.0732059
356,-7.836,0.113025,-0.0732059
357,-7.835,0.113025,-0.0732059
358,-7.834,0.113025,-0.0732059
359,-7.833,0.113025,-0.0732059
360,-7.832,0.113025,-0.0732059
361,-7.831,0.113025,-0.0732059
362,-7.83,0.113025,-0.0732059
363,-7.829,0.113025,-0.0732059
364,-7.828,0.113025,-0.0732059
365,-7.827,0.113025,-0.0732059
366,-7.826,0.113025,-0.0732059
367,-7.825,0.113025,-0.0732059
368,-7.824,0.113025,-0.0732059
369,-7.823,0.113025,-0.0732059
370,-7.822,0.113025,-0.0732059
371,-7.821,0.113025,-0.0732059
372,-7.82,0.113025,-0.0732059
373,-7.819,0.113025,-0.0732059
374,-7.818,0.113025,-0.0732059
375,-7.817,0.113025,-0.0732059
376,-7.816,0.113025,-0.0732059
377,-7.815,0.113025,-0.0732059
378,-7.814,0.113025,-0.0732059
379,-7.813,0.113025,-0.0732059
380,-7.812,0.113025,-0.0732059
381,-7.811,0.113025,-0.0732059
382,-7.81,0.113025,-0.0732059
383,-7.809,0.113025,-0.0732059
384,-7.808,0.113025,-0.0732059
385,-7.807,0.113025,-0.0732059
386,-7.806,0.113025,-0.0732059
387,-7.805,0.113025,-0.0732059
388,-7.804,0.113025,-0.0732059
389,-7.803,0.113025,-0.0732059
390,-7.802,0.113025,-0.0732059
391,-7.801,0.113025,-0.0732059
392,-7.8,0.113025,-0.0732059
393,-7.799,0.113025,-0.0732059
394,-7.798,0.113025,-0.0732059
395,-7.797,0.113025,-0.0732059
396,-7.796,0.113025,-0.0732059
397,-7.795,0.113025,-0.0732059
398,-7.794,0.113025,-0.0732059
399,-7.793,0.113025,-0.0732059
400,-7.792,0.113025,-0.0732059
401,-7.791,0.113025,-0.0732059
402,-7.79,0.113025,-0.0732059
403,-7.789,0.113025,-0.0732059
404,-7.788,0.113025,-0.0732059
405,-7.787,0.113025,-0.0732059
406,-7.786,0.113025,-0.0732059
407,-7.785,0.113025,-0.0732059
408,-7.784,0.113025,-0.0732059
409,-7.783,0.113025,-0.0732059
410,-7.782,0.113025,-0.0732059
411,-7.781,0.113025,-0.0732059
412,-7.78,0.113025,-0.0732059
413,-7.779,0.113025,-0.0732059
414,-7.778,0.113025,-0.0732059
415,-7.777,0.113025,-0.0732059
416,-7.776,0.113025,-0.0732059
417,-7.775,0.113025,-0.0732059
418,-7.774,0.113025,-0.0732059
419,-7.773,0.113025,-0.0732059
420,-7.772,0.113025,-0.0732059
421,-7.771,0.113025,-0.0732059
422,-7.77,0.113025,-0.0732059
423,-7.769,0.113025,-0.0732059
424,-7.768,0.113025,-0.0732059
425,-7.767,0.113025,-0.0732059
426,-7.766,0.113025,-0.0732059
427,-7.765,0.113025,-0.0732059
428,-7.764,0.113025,-0.0732059
