Sample,Time(S),CH1(V),CH2(V)
264,-7.736,0.113025,-0.0732059
265,-7.735,0.113025,-0.0732059
266,-7.734,0.113025,-0.0732059
267,-7.733,0.113025,-0.0732059
268,-7.732,0.113025,-0.0732059
269,-7.731,0.113025,-0.0732059
270,-7.73,0.113025,-0.0732059
271,-7.729,0.113025,-0.0732059
272,-7.728,0.113025,-0.0732059
273,-7.727,0.113025,-0.0549044
274,-7.726,0.113025,-0.0549044
275,-7.725,0.113025,-0.0732059
276,-7.724,0.113025,-0.0732059
277,-7.723,0.113025,-0.0732059
278,-7.722,0.113025,-0.0732059
279,-7.721,0.113025,-0.0732059
280,-7.72,0.113025,-0.0732059
281,-7.719,0.113025,-0.0732059
282,-7.718,0.113025,-0.0732059
283,-7.717,0.113025,-0.0732059
284,-7.716,0.113025,-0.0732059
285,-7.715,0.113025,-0.0732059
286,-7.714,0.113025,-0.0732059
287,-7.713,0.113025,-0.0732059
288,-7.712,0.113025,-0.0732059
289,-7.711,0.113025,-0.0732059
290,-7.71,0.113025,-0.0732059
291,-7.709,0.113025,-0.0732059
292,-7.708,0.113025,-0.0732059
293,-7.707,0.113025,-0.0732059
294,-7.706,0.113025,-0.0732059
295,-7.705,0.113025,-0.0732059
296,-7.704,0.113025,-0.0732059
297,-7.703,0.113025,-0.0732059
298,-7.702,0.113025,-0.0732059
299,-7.701,0.113025,-0.0732059
300,-7.7,0.113025,-0.0732059
301,-7.699,0.113025,-0.0732059
302,-7.698,0.113025,-0.0732059
303,-7.697,0.113025,-0.0732059
304,-7.696,0.113025,-0.0732059
305,-7.695,0.113025,-0.0732059
306,-7.694,0.113025,-0.0732059
307,-7.693,0.113025,-0.0732059
308,-7.692,0.113025,-0.0549044
309,-7.691,0.113025,-0.0549044
310,-7.69,0.113025,-0.0549044
311,-7.689,0.113025,-0.0549044
312,-7.688,0.113025,-0.0732059
313,-7.687,0.113025,-0.0732059
314,-7.686,0.113025,-0.0732059
315,-7.685,0.113025,-0.0732059
316,-7.684,0.113025,-0.0732059
317,-7.683,0.113025,-0.0549044
318,-7.682,0.113025,-0.0549044
319,-7.681,0.113025,-0.0732059
320,-7.68,0.113025,-0.0732059
321,-7.679,0.113025,-0.0732059
322,-7.678,0.113025,-0.0732059
323,-7.677,0.113025,-0.0732059
324,-7.676,0.113025,-0.0732059
325,-7.675,0.113025,-0.0732059
326,-7.674,0.113025,-0.0732059
327,-7.673,0.113025,-0.0732059
328,-7.672,0.113025,-0.0732059
329,-7.671,0.113025,-0.0732059
330,-7.67,0.113025,-0.0732059
331,-7.669,0.113025,-0.0732059
332,-7.668,0.113025,-0.0549044
333,-7.667,0.113025,-0.0549044
334,-7.666,0.113025,-0.0732059
335,-7.665,0.113025,-0.0549044
336,-7.664,0.113025,-0.0549044
337,-7.663,0.113025,-0.0732059
338,-7.662,0.113025,-0.0732059
339,-7.661,0.113025,-0.0732059
340,-7.66,0.113025,-0.0732059
341,-7.659,0.113025,-0.0732059
342,-7.658,0.113025,-0.0732059
343,-7.657,0.113025,-0.0732059
344,-7.656,0.113025,-0.0732059
345,-7.655,0.113025,-0.0732059
346,-7.654,0.113025,-0.0732059
347,-7.653,0.113025,-0.0732059
348,-7.652,0.113025,-0.0549044
349,-7.651,0.113025,-0.0549044
350,-7.65,0.113025,-0.0549044
351,-7.649,0.113025,-0.0732059
352,-7.648,0.113025,-0.0366029
353,-7.647,0.113025,-0.0732059
354,-7.646,0.113025,-0.0366029
355,-7.645,0.113025,-0.0549044
356,-7.644,0.113025,-0.0549044
357,-7.643,0.113025,-0.0732059
358,-7.642,0.113025,-0.0732059
359,-7.641,0.113025,-0.0732059
360,-7.64,0.113025,-0.0732059
361,-7.639,0.113025,-0.0732059
362,-7.638,0.113025,-0.0732059
363,-7.637,0.113025,-0.0732059
364,-7.636,0.113025,-0.0732059
365,-7.635,0.113025,-0.0732059
366,-7.634,0.113025,-0.0732059
367,-7.633,0.113025,-0.0732059
368,-7.632,0.113025,-0.0549044
369,-7.631,0.113025,-0.0549044
370,-7.63,0.113025,-0.0732059
371,-7.629,0.113025,-0.0732059
372,-7.628,0.113025,-0.0732059
373,-7.627,0.113025,-0.0732059
374,-7.626,0.113025,-0.0549044
375,-7.625,0.113025,-0.0549044
376,-7.624,0.113025,-0.0732059
377,-7.623,0.113025,-0.0549044
378,-7.622,0.113025,-0.0732059
379,-7.621,0.113025,-0.0732059
380,-7.62,0.113025,-0.0732059
381,-7.619,0.113025,-0.0732059
382,-7.618,0.113025,-0.0732059
383,-7.617,0.113025,-0.0732059
384,-7.616,0.113025,-0.0732059
385,-7.615,0.113025,-0.0732059
386,-7.614,0.113025,-0.0732059
387,-7.613,0.113025,-0.0732059
388,-7.612,0.113025,-0.0732059
389,-7.611,0.113025,-0.0732059
390,-7.61,0.113025,-0.0732059
391,-7.609,0.113025,-0.0732059
392,-7.608,0.113025,-0.0549044
393,-7.607,0.113025,-0.0549044
394,-7.606,0.113025,-0.0549044
395,-7.605,0.113025,-0.0549044
396,-7.604,0.113025,-0.0549044
397,-7.603,0.113025,-0.0549044
398,-7.602,0.113025,-0.0549044
399,-7.601,0.113025,-0.0732059
400,-7.6,0.113025,-0.0732059
401,-7.599,0.113025,-0.0732059
402,-7.598,0.113025,-0.0732059
403,-7.597,0.113025,-0.0732059
404,-7.596,0.113025,-0.0732059
405,-7.595,0.113025,-0.0732059
406,-7.594,0.113025,-0.0732059
407,-7.593,0.113025,-0.0732059
408,-7.592,0.113025,-0.0732059
409,-7.591,0.113025,-0.0366029
410,-7.59,0.113025,-0.0549044
411,-7.589,0.113025,-0.0732059
412,-7.588,0.113025,-0.0366029
413,-7.587,0.113025,-0.0549044
414,-7.586,0.113025,-0.0732059
415,-7.585,0.113025,-0.0366029
416,-7.584,0.113025,-0.0549044
417,-7.583,0.113025,-0.0549044
418,-7.582,0.113025,-0.0732059
419,-7.581,0.113025,-0.0732059
420,-7.58,0.113025,-0.0732059
421,-7.579,0.113025,-0.0732059
422,-7.578,0.113025,-0.0732059
423,-7.577,0.113025,-0.0732059
424,-7.576,0.113025,-0.0732059
425,-7.575,0.113025,-0.0732059
426,-7.574,0.113025,-0.0732059
427,-7.573,0.113025,-0.0732059
428,-7.572,0.113025,-0.0732059
429,-7.571,0.113025,-0.0732059
430,-7.57,0.113025,-0.0732059
431,-7.569,0.113025,-0.0732059
432,-7.568,0.113025,-0.0549044
433,-7.567,0.113025,-0.0549044
434,-7.566,0.113025,-0.0549044
435,-7.565,0.113025,-0.0549044
436,-7.564,0.113025,-0.0732059
437,-7.563,0.113025,-0.0732059
438,-7.562,0.113025,-0.0732059
439,-7.561,0.113025,-0.0732059
440,-7.56,0.113025,-0.0732059
441,-7.559,0.113025,-0.0732059
442,-7.558,0.113025,-0.0732059
443,-7.557,0.113025,-0.0732059
444,-7.556,0.113025,-0.0732059
445,-7.555,0.113025,-0.0732059
446,-7.554,0.113025,-0.0732059
447,-7.553,0.113025,-0.0732059
448,-7.552,0.113025,-0.0732059
449,-7.551,0.113025,-0.0732059
450,-7.55,0.113025,-0.0366029
451,-7.549,0.113025,-0.0549044
452,-7.548,0.113025,-0.0549044
453,-7.547,0.113025,-0.0549044
454,-7.546,0.113025,-0.0549044
455,-7.545,0.113025,-0.0366029
456,-7.544,0.113025,-0.0732059
457,-7.543,0.113025,-0.0732059
458,-7.542,0.113025,-0.0732059
459,-7.541,0.113025,-0.0732059
460,-7.54,0.113025,-0.0732059
461,-7.539,0.113025,-0.0732059
462,-7.538,0.113025,-0.0732059
463,-7.537,0.113025,-0.0732059
464,-7.536,0.113025,-0.0732059
465,-7.535,0.113025,-0.0732059
466,-7.534,0.113025,-0.0732059
467,-7.533,0.113025,-0.0732059
468,-7.532,0.113025,-0.0732059
469,-7.531,0.113025,-0.0366029
470,-7.53,0.113025,-0.0549044
471,-7.529,0.113025,-0.0549044
472,-7.528,0.113025,-0.0549044
473,-7.527,0.113025,-0.0549044
474,-7.526,0.113025,-0.0549044
475,-7.525,0.113025,-0.0549044
476,-7.524,0.113025,-0.0366029
477,-7.523,0.113025,-0.0732059
478,-7.522,0.113025,-0.0732059
479,-7.521,0.113025,-0.0732059
480,-7.52,0.113025,-0.0732059
481,-7.519,0.113025,-0.0732059
482,-7.518,0.113025,-0.0732059
483,-7.517,0.113025,-0.0732059
484,-7.516,0.113025,-0.0732059
485,-7.515,0.113025,-0.0732059
486,-7.514,0.113025,-0.0732059
487,-7.513,0.113025,-0.0732059
488,-7.512,0.113025,-0.0732059
489,-7.511,0.113025,-0.0366029
490,-7.51,0.113025,-0.0549044
491,-7.509,0.113025,-0.0549044
492,-7.508,0.113025,-0.0549044
493,-7.507,0.113025,-0.0549044
494,-7.506,0.113025,-0.0549044
495,-7.505,0.113025,-0.0549044
496,-7.504,0.113025,-0.0549044
497,-7.503,0.113025,-0.0732059
498,-7.502,0.113025,-0.0732059
499,-7.501,0.113025,-0.0732059
500,-7.5,0.113025,-0.0732059
501,-7.499,0.113025,-0.0732059
502,-7.498,0.113025,-0.0732059
503,-7.497,0.113025,-0.0732059
504,-7.496,0.113025,-0.0732059
505,-7.495,0.113025,-0.0732059
506,-7.494,0.113025,-0.0732059
507,-7.493,0.113025,-0.0732059
508,-7.492,0.113025,-0.0732059
509,-7.491,0.113025,-0.0732059
510,-7.49,0.113025,-0.0732059
511,-7.489,0.113025,-0.0366029
512,-7.488,0.113025,-0.0732059
513,-7.487,0.113025,-0.0732059
514,-7.486,0.113025,-0.0366029
515,-7.485,0.113025,-0.0732059
516,-7.484,0.113025,-0.0732059
517,-7.483,0.113025,-0.0732059
518,-7.482,0.113025,-0.0732059
519,-7.481,0.113025,-0.0732059
520,-7.48,0.113025,-0.0732059
521,-7.479,0.113025,-0.0732059
522,-7.478,0.113025,-0.0732059
523,-7.477,0.113025,-0.0732059
524,-7.476,0.113025,-0.0732059
525,-7.475,0.113025,-0.0732059
526,-7.474,0.113025,-0.0732059
527,-7.473,0.113025,-0.0732059
528,-7.472,0.113025,-0.0732059
529,-7.471,0.113025,-0.0732059
530,-7.47,0.113025,-0.0732059
531,-7.469,0.113025,-0.0732059
532,-7.468,0.113025,-0.0366029
533,-7.467,0.113025,-0.0549044
534,-7.466,0.113025,-0.0549044
535,-7.465,0.113025,-0.0549044
536,-7.464,0.113025,-0.0549044
537,-7.463,0.113025,-0.0366029
538,-7.462,0.113025,-0.0732059
539,-7.461,0.113025,-0.0732059
540,-7.46,0.113025,-0.0732059
541,-7.459,0.113025,-0.0732059
542,-7.458,0.113025,-0.0732059
543,-7.457,0.113025,-0.0732059
544,-7.456,0.113025,-0.0732059
545,-7.455,0.113025,-0.0732059
546,-7.454,0.113025,-0.0732059
547,-7.453,0.113025,-0.0732059
548,-7.452,0.113025,-0.0732059
549,-7.451,0.113025,-0.0732059
550,-7.45,0.113025,-0.0732059
551,-7.449,0.113025,-0.0549044
552,-7.448,0.113025,-0.0549044
553,-7.447,0.113025,-0.0549044
554,-7.446,0.113025,-0.0549044
555,-7.445,0.113025,-0.0732059
556,-7.444,0.113025,-0.0366029
557,-7.443,0.113025,-0.0366029
558,-7.442,0.113025,-0.0732059
559,-7.441,0.113025,-0.0732059
560,-7.44,0.113025,-0.0732059
561,-7.439,0.113025,-0.0732059
562,-7.438,0.113025,-0.0732059
563,-7.437,0.113025,-0.0732059
564,-7.436,0.113025,-0.0732059
565,-7.435,0.113025,-0.0732059
566,-7.434,0.113025,-0.0732059
567,-7.433,0.113025,-0.0732059
568,-7.432,0.113025,-0.0732059
569,-7.431,0.113025,-0.0732059
570,-7.43,0.113025,-0.0732059
571,-7.429,0.113025,-0.0549044
572,-7.428,0.113025,-0.0549044
573,-7.427,0.113025,-0.0366029
574,-7.426,0.113025,-0.0549044
575,-7.425,0.113025,-0.0549044
576,-7.424,0.113025,-0.0549044
577,-7.423,0.113025,-0.0549044
578,-7.422,0.113025,-0.0549044
579,-7.421,0.113025,-0.0549044
580,-7.42,0.113025,-0.0732059
581,-7.419,0.113025,-0.0732059
582,-7.418,0.113025,-0.0732059
583,-7.417,0.113025,-0.0732059
584,-7.416,0.113025,-0.0732059
585,-7.415,0.113025,-0.0732059
586,-7.414,0.113025,-0.0732059
587,-7.413,0.113025,-0.0732059
588,-7.412,0.113025,-0.0732059
589,-7.411,0.113025,-0.0732059
590,-7.41,0.113025,-0.0732059
591,-7.409,0.113025,-0.0549044
592,-7.408,0.113025,-0.0549044
593,-7.407,0.113025,-0.0549044
594,-7.406,0.113025,-0.0549044
595,-7.405,0.113025,-0.0366029
596,-7.404,0.113025,-0.0549044
597,-7.403,0.113025,-0.0549044
598,-7.402,0.113025,-0.0549044
599,-7.401,0.113025,-0.0732059
600,-7.4,0.113025,-0.0732059
601,-7.399,0.113025,-0.0732059
602,-7.398,0.113025,-0.0732059
603,-7.397,0.113025,-0.0732059
604,-7.396,0.113025,-0.0732059
605,-7.395,0.113025,-0.0732059
606,-7.394,0.113025,-0.0732059
607,-7.393,0.113025,-0.0732059
608,-7.392,0.113025,-0.0732059
609,-7.391,0.113025,-0.0732059
610,-7.39,0.113025,-0.0549044
611,-7.389,0.113025,-0.0549044
612,-7.388,0.113025,-0.0366029
613,-7.387,0.113025,-0.0549044
614,-7.386,0.113025,-0.0549044
615,-7.385,0.113025,-0.0549044
616,-7.384,0.113025,-0.0549044
617,-7.383,0.113025,-0.0549044
618,-7.382,0.113025,-0.0732059
619,-7.381,0.113025,-0.0732059
620,-7.38,0.113025,-0.0732059
621,-7.379,0.113025,-0.0732059
622,-7.378,0.113025,-0.0732059
623,-7.377,0.113025,-0.0732059
624,-7.376,0.113025,-0.0732059
625,-7.375,0.113025,-0.0732059
